GPHT'_MSE, GPHT'_MAE, GPHT_MSE, GPHT_MAE, Self-supervised_PatchTST_MSE, Self-supervised_PatchTST_MAE, FPT_MSE, FPT_MAE, SimMTM_MSE, SimMTM_MAE, TimeMAE_MSE, TimeMAE_MAE, Supervised_PatchTST_MSE, Supervised_PatchTST_MAE, iTransformer_MSE, iTransformer_MAE, TimesNet_MSE, TimesNet_MAE, DLinear_MSE, DLinear_MAE
0.301,0.345,0.291,0.339,0.281,0.341,0.29,0.346,0.296,0.349,0.301,0.348,0.298,0.345,0.306,0.36,0.331,0.372,0.303,0.346
0.347,0.374,0.337,0.368,0.326,0.372,0.33,0.371,0.334,0.373,0.351,0.383,0.339,0.374,0.345,0.382,0.435,0.421,0.338,0.368
0.388,0.401,0.377,0.393,0.348,0.384,0.366,0.393,0.371,0.398,0.39,0.408,0.381,0.401,0.378,0.402,0.457,0.445,0.373,0.393
0.465,0.441,0.452,0.433,0.399,0.418,0.416,0.421,0.418,0.425,0.457,0.446,0.428,0.431,0.443,0.439,0.526,0.481,0.428,0.423
