GPHT'_MSE, GPHT'_MAE, GPHT_MSE, GPHT_MAE, Self-supervised_PatchTST_MSE, Self-supervised_PatchTST_MAE, FPT_MSE, FPT_MAE, SimMTM_MSE, SimMTM_MAE, TimeMAE_MSE, TimeMAE_MAE, Supervised_PatchTST_MSE, Supervised_PatchTST_MAE, iTransformer_MSE, iTransformer_MAE, TimesNet_MSE, TimesNet_MAE, DLinear_MSE, DLinear_MAE
0.307,0.347,0.296,0.34,0.297,0.354,0.291,0.349,0.298,0.35,0.294,0.358,0.286,0.342,0.305,0.361,0.355,0.408,0.296,0.36
0.373,0.389,0.363,0.384,0.388,0.406,0.356,0.39,0.36,0.388,0.352,0.397,0.357,0.389,0.391,0.412,0.403,0.434,0.391,0.423
0.399,0.414,0.392,0.41,0.392,0.413,0.387,0.418,0.388,0.41,0.394,0.427,0.377,0.409,0.418,0.433,0.398,0.434,0.445,0.46
0.412,0.429,0.407,0.427,0.413,0.442,0.415,0.448,0.412,0.435,0.539,0.51,0.406,0.44,0.437,0.455,0.443,0.465,0.7,0.592
