GPHT'_MSE, GPHT'_MAE, GPHT_MSE, GPHT_MAE, Self-supervised_PatchTST_MSE, Self-supervised_PatchTST_MAE, FPT_MSE, FPT_MAE, SimMTM_MSE, SimMTM_MAE, TimeMAE_MSE, TimeMAE_MAE, Supervised_PatchTST_MSE, Supervised_PatchTST_MAE, iTransformer_MSE, iTransformer_MAE, TimesNet_MSE, TimesNet_MAE, DLinear_MSE, DLinear_MAE
0.179,0.257,0.17,0.25,0.171,0.257,0.171,0.261,0.173,0.264,0.18,0.267,0.174,0.261,0.174,0.266,0.19,0.276,0.17,0.264
0.242,0.298,0.23,0.291,0.236,0.304,0.231,0.302,0.23,0.299,0.243,0.312,0.238,0.307,0.247,0.315,0.244,0.311,0.233,0.311
0.3,0.334,0.285,0.327,0.291,0.344,0.288,0.343,0.282,0.332,0.308,0.355,0.293,0.346,0.292,0.343,0.302,0.349,0.298,0.358
0.4,0.393,0.38,0.386,0.388,0.404,0.389,0.406,0.374,0.39,0.395,0.407,0.373,0.401,0.375,0.395,0.406,0.406,0.423,0.437
